SZ_FCT_BRAND,SZ_FCT_CATG_ID,SZ_FCT_SORT_ORDER_NUMBER,SZ_FCT_NUMBER_OF_DIM,DIMENSION,SZ_FCT_NAME,SZ_FCT_ALPH_ALT_CTG_ID,SZ_FCT_ALPH_ALT_CTG,SZ_FACET_WEB_NAME,SZ_DIM1_NAME,SZ_DIM2_NAME,SZ_VARIANT_SORT_ORDER,SZ_FACET_DESCRIPTION,SZ_FCT_VAL_NM,SZ_FCT_VAL_NM_2,COL_POS_NBR,DEPARTMENT_TAG_NAME,PRODUCT_TYPE_TAG_NAME,CATEGORY_GROUP_TAG_NAME
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXS,,0,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXS,,0,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXS,,0,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXS,,0,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XS,,1,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XS,,1,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XS,,1,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XS,,1,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,S,,2,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,S,,2,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,S,,2,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,S,,2,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,M,,3,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,M,,3,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,M,,3,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,M,,3,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,L,,4,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,L,,4,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,L,,4,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,L,,4,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XL,,5,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XL,,5,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XL,,5,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XL,,5,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXL,,6,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXL,,6,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXL,,6,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,XXL,,6,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,"One Size",,7,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,"One Size",,7,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,"One Size",,7,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,1,Regular,"One Size",,7,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XS,,0,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XS,,0,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XS,,0,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XS,,0,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,S,,1,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,S,,1,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,S,,1,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,S,,1,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,M,,2,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,M,,2,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,M,,2,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,M,,2,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,L,,3,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,L,,3,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,L,,3,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,L,,3,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XL,,4,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XL,,4,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XL,,4,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XL,,4,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XXL,,5,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XXL,,5,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XXL,,5,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,3,Tall,XXL,,5,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXS,,0,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXS,,0,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXS,,0,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXS,,0,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XS,,1,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XS,,1,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XS,,1,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XS,,1,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,S,,2,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,S,,2,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,S,,2,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,S,,2,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,M,,3,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,M,,3,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,M,,3,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,M,,3,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,L,,4,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,L,,4,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,L,,4,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,L,,4,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XL,,5,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XL,,5,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XL,,5,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XL,,5,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXL,,6,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXL,,6,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXL,,6,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,4,Petite,XXL,,6,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,1X,,0,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,1X,,0,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,1X,,0,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,1X,,0,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,2X,,1,Women,Apparel,Tops
BR,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,2X,,1,Women,Apparel,Tops
GAP,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,2X,,1,Women,Apparel,Tops
ON,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,2X,,1,Women,Apparel,Tops
AT,3,1,1,1,"Women's Tops Alpha",,,Tops,size,,7,Plus,3X,,2,Women,Apparel,Tops
